time,jd,wd,status
18-0,114.119049,22.534533,1
18-0,114.119049,22.534533,0
18-1,114.119049,22.534533,1
18-1,114.119049,22.534533,0
18-1,114.119049,22.534533,1
18-2,114.099365,22.591551,0
18-6,114.100533,22.607267,1
18-7,114.100533,22.607267,0
18-7,114.100533,22.607267,1
18-7,114.100533,22.607267,0
18-7,114.100533,22.607267,1
18-8,114.100533,22.607267,0
18-8,114.100533,22.607267,1
18-8,114.018150,22.539000,0
18-8,114.012283,22.542368,1
18-9,114.041786,22.512518,0
18-9,114.043953,22.514267,1
18-9,114.061653,22.541983,0
18-9,114.061119,22.541983,1
18-10,114.061119,22.541983,0
18-10,114.061119,22.541983,1
18-9,114.061119,22.541983,0
18-11,114.089470,22.543283,1
18-11,114.103836,22.563183,0
18-11,114.102997,22.561483,1
18-11,114.098618,22.556833,0
18-11,114.098618,22.556833,1
18-11,114.098618,22.556833,0
18-11,114.098618,22.556833,1
18-12,114.098618,22.556833,0
18-12,114.098618,22.556833,1
18-12,114.098618,22.556833,0
18-12,114.098618,22.556833,1
18-12,114.098618,22.556833,0
18-12,114.098618,22.556833,1
18-13,114.098618,22.556833,0
18-13,114.098618,22.556833,1
18-13,114.098618,22.556833,0
18-13,114.098618,22.556833,1
18-13,114.098618,22.556833,0
18-15,113.899849,22.548717,1
18-14,113.919403,22.530867,0
18-14,113.919670,22.531816,1
18-15,113.850685,22.590982,0
18-15,113.938499,22.542566,1
18-16,113.911880,22.514168,0
18-16,113.958847,22.522833,1
18-17,114.101181,22.612333,0
18-17,114.101135,22.611650,1
18-17,114.102135,22.608017,0
18-17,114.099266,22.603083,1
18-17,114.108780,22.613518,0
18-17,114.112564,22.608116,1
18-17,114.110519,22.587084,0
18-17,114.117203,22.575800,1
18-18,114.122719,22.569668,0
18-18,114.123970,22.569782,1
18-18,114.118332,22.565599,0
18-18,114.118332,22.565599,1
18-19,113.816284,22.646851,0
18-20,113.925346,22.566483,1
18-20,114.071983,22.586967,0
18-20,114.072166,22.583817,1
18-20,114.107117,22.574751,0
18-20,114.110451,22.576332,1
18-21,114.116951,22.604033,0
18-21,114.118553,22.590000,1
18-21,114.183563,22.639683,0
18-21,114.110733,22.586367,1
18-22,114.081665,22.546400,0
18-22,114.082130,22.545650,1
18-22,114.112717,22.547733,0
18-22,114.112816,22.547617,1
18-22,114.224602,22.557882,0
18-22,114.225853,22.553551,1
18-23,114.212196,22.557751,0
18-23,114.212196,22.557751,1
18-23,114.212196,22.557751,0
18-23,114.212196,22.557751,1
18-23,114.212196,22.557751,0
18-23,114.212196,22.557751,1
18-23,114.068466,22.523666,0
18-23,114.068520,22.524300,1
18-23,114.113899,22.538733,0
19-0,114.212196,22.557751,1
19-0,114.212196,22.557751,0
19-0,114.068520,22.524300,1
19-0,114.068520,22.524300,0
19-0,114.113899,22.538733,1
19-0,114.113899,22.538733,0
19-1,114.113899,22.538733,1
19-1,114.113899,22.538733,0
19-1,114.113899,22.538733,1
19-1,114.113899,22.538733,0
19-1,114.113899,22.538733,1
19-1,114.113899,22.538733,0
19-1,114.113899,22.538733,1
19-2,114.113899,22.538733,0
19-2,114.071365,22.524233,1
19-2,114.071365,22.524233,0
19-3,114.113884,22.537567,1
19-3,114.113884,22.537567,0
19-4,114.126869,22.549833,1
19-4,114.135864,22.553467,0
19-5,114.083054,22.540533,1
19-5,114.133652,22.550751,0
19-7,114.111282,22.586500,1
19-7,114.043503,22.557734,0
19-7,114.046730,22.565933,1
19-8,114.066017,22.573933,0
19-8,114.054085,22.569500,1
19-8,114.048615,22.537201,0
19-8,114.037186,22.531082,1
19-8,114.056114,22.537033,0
19-8,114.057999,22.536716,1
19-8,114.046135,22.539667,0
19-9,114.035980,22.548651,1
19-9,114.008682,22.553284,0
19-9,114.008369,22.553717,1
19-9,114.122681,22.540833,0
19-9,114.121635,22.540182,1
19-9,114.112717,22.535883,0
