time,jd,wd,status
18-0,114.059219,22.526751,1
18-0,114.056267,22.525883,0
18-1,113.815948,22.651167,1
18-1,113.815781,22.651382,0
18-1,113.816071,22.649567,1
18-2,113.916321,22.574850,0
18-3,113.815300,22.649233,1
18-4,113.993103,22.546801,0
18-6,113.919167,22.518517,1
18-6,114.052216,22.538282,0
18-7,114.051933,22.538601,1
18-7,114.007629,22.537483,0
18-7,114.007797,22.538067,1
18-7,114.111015,22.535000,0
18-8,114.112053,22.531683,1
18-8,114.110214,22.541483,0
18-8,114.119003,22.546818,1
18-8,114.116982,22.543100,0
18-8,114.111847,22.538950,1
18-8,114.056252,22.531767,0
18-8,114.055618,22.531750,1
18-9,114.145714,22.550783,0
18-9,114.144882,22.556717,1
18-9,114.157364,22.563467,0
18-9,114.164581,22.564383,1
18-10,114.016785,22.538151,0
18-11,114.094917,22.559883,1
18-11,114.123734,22.558517,0
18-11,114.123421,22.558451,1
18-11,114.111252,22.545601,0
18-11,114.110519,22.546200,1
18-11,114.123596,22.558634,0
18-11,114.122597,22.558083,1
18-11,114.115982,22.550682,0
18-11,114.096382,22.543417,1
18-12,114.117516,22.544416,0
18-12,114.116997,22.543217,1
18-12,114.056435,22.531834,0
18-12,114.056282,22.531799,1
18-12,113.987846,22.524317,0
18-12,113.929100,22.517599,1
18-12,113.919952,22.494932,0
18-13,113.916000,22.500483,1
18-13,113.858002,22.625267,0
18-13,113.815201,22.649000,1
18-13,114.049820,22.513300,0
18-14,114.051453,22.527533,1
18-14,114.018021,22.540068,0
18-14,114.005798,22.536751,1
18-14,114.051201,22.512051,0
18-15,113.966721,22.541100,1
18-15,113.920753,22.543200,0
18-15,113.920135,22.543118,1
18-16,113.963387,22.548183,0
18-16,113.963417,22.542482,1
18-16,113.943153,22.506468,0
18-17,113.916786,22.509417,1
18-17,113.930115,22.505318,0
18-17,113.911064,22.487900,1
18-17,113.930199,22.505733,0
18-17,113.946014,22.507133,1
18-17,113.971016,22.522751,0
18-18,114.041885,22.527367,1
18-18,114.059196,22.518118,0
18-18,114.058418,22.519484,1
18-18,114.059883,22.525467,0
