time,jd,wd,status
18-0,114.112617,22.627050,1
18-0,114.129448,22.618099,0
18-0,114.112564,22.584900,1
18-0,114.167519,22.562550,0
18-1,114.116585,22.550051,1
18-1,114.107948,22.619499,0
18-7,114.098480,22.575768,1
18-7,114.121864,22.566601,0
18-7,114.121803,22.566851,1
18-8,114.043732,22.556284,0
18-8,114.043747,22.556267,1
18-8,114.056534,22.531282,0
18-8,114.059364,22.531384,1
18-9,114.110764,22.595301,0
18-9,114.118713,22.598516,1
18-9,114.123466,22.579317,0
18-9,114.122818,22.577200,1
18-9,114.036613,22.562401,0
18-9,114.042282,22.556583,1
18-10,114.081779,22.547318,0
18-10,114.081970,22.546766,1
18-10,114.020668,22.538282,0
18-11,114.076065,22.540068,1
18-11,114.076248,22.548983,0
18-11,114.085518,22.543266,1
18-11,114.118446,22.551600,0
18-11,114.118469,22.552217,1
18-11,114.119514,22.541283,0
18-11,114.117554,22.539967,1
18-11,114.089432,22.543467,0
18-11,114.087502,22.543301,1
18-11,114.075401,22.540033,0
18-12,114.081764,22.537718,1
18-12,114.091148,22.561434,0
18-12,114.092247,22.561466,1
18-12,114.115601,22.557716,0
18-12,114.116516,22.548668,1
18-12,114.088852,22.551817,0
18-12,114.099403,22.556984,1
18-12,114.115021,22.534918,0
18-13,114.113930,22.546383,1
18-13,114.115883,22.544233,0
18-13,114.119347,22.540716,1
18-13,114.113800,22.539083,0
18-13,114.118034,22.543667,1
18-14,114.031586,22.518633,0
18-15,113.816254,22.646999,1
18-15,113.871117,22.619867,0
18-15,113.875916,22.616266,1
18-15,113.916351,22.574850,0
18-15,113.922234,22.568518,1
18-15,113.929718,22.581499,0
18-15,113.950348,22.543182,1
18-16,113.949951,22.586901,0
18-16,113.960381,22.585300,1
18-16,113.943436,22.506599,0
18-16,113.946518,22.508051,1
18-17,113.873985,22.820633,0
18-18,113.816330,22.647516,1
18-18,114.002296,22.544500,0
18-19,114.058250,22.535482,1
18-20,114.067299,22.571117,0
18-21,114.065132,22.568968,1
18-21,114.098969,22.561518,0
18-21,114.099167,22.561184,1
18-21,114.105049,22.549368,0
18-21,114.105515,22.546400,1
18-21,114.065651,22.523800,0
18-23,113.816666,22.647232,1
18-23,113.927017,22.565233,0
19-0,113.979851,22.561417,1
19-0,113.962135,22.546833,0
19-7,114.102951,22.555767,1
19-7,114.094849,22.555067,0
19-7,114.093018,22.553949,1
19-8,114.020485,22.533382,0
19-8,114.031517,22.526733,1
19-8,114.146500,22.554417,0
19-8,114.144363,22.553650,1
19-9,114.101349,22.546101,0
19-9,114.101830,22.548067,1
19-9,114.112251,22.531467,0
19-9,114.113815,22.534201,1
19-9,114.021118,22.539333,0
19-9,114.020851,22.539284,1
19-9,114.038383,22.553083,0
19-9,114.049896,22.542650,1
19-10,114.047066,22.530333,0
19-10,114.047470,22.525784,1
19-10,114.082268,22.542999,0
19-10,114.081886,22.540817,1
19-10,114.089035,22.547501,0
19-10,114.091080,22.545218,1
19-10,113.960602,22.522867,0
19-11,113.921318,22.532467,1
19-11,113.938881,22.542534,0
19-11,113.942749,22.541634,1
19-11,113.933464,22.548183,0
19-11,113.940567,22.539249,1
19-11,113.914185,22.536417,0
19-12,113.916054,22.500700,1
19-12,113.940170,22.563433,0
19-12,113.940666,22.560118,1
19-12,113.938004,22.542967,0
19-12,113.940666,22.546667,1
19-13,113.910484,22.581350,0
19-13,113.914551,22.528534,1
19-14,113.955185,22.573618,0
19-14,113.981232,22.561050,1
19-14,114.087898,22.550516,0
19-14,114.085236,22.549232,1
19-14,114.081581,22.544117,0
19-15,114.078697,22.540283,1
19-15,114.089333,22.543283,0
19-15,114.088814,22.551733,1
19-15,113.951935,22.523849,0
19-15,113.919502,22.488750,1
19-16,113.814552,22.649834,0
19-17,113.816597,22.647301,1
19-17,113.954849,22.563551,0
19-18,114.111580,22.531767,1
19-19,114.098663,22.569267,0
19-19,114.095680,22.564667,1
19-19,114.107536,22.591249,0
19-19,114.118599,22.598667,1
19-19,114.118263,22.599216,0
19-19,114.114265,22.582233,1
19-20,114.107597,22.566982,0
19-20,114.107666,22.570749,1
19-20,114.112579,22.585518,0
19-20,114.119370,22.560682,1
19-20,114.119904,22.544550,0
19-20,114.119431,22.544100,1
19-20,114.120018,22.541500,0
19-20,114.124115,22.541367,1
