time,jd,wd,status
18-0,114.115082,22.576733,1
18-0,114.105766,22.583866,0
18-1,114.102318,22.548201,1
18-1,114.102600,22.540800,0
18-1,114.104202,22.544300,1
18-1,114.061432,22.522917,0
18-3,114.075966,22.534517,1
18-3,114.086632,22.539766,0
18-3,114.099434,22.551216,1
18-3,114.120499,22.573833,0
18-4,114.119698,22.544268,1
18-4,114.120316,22.545401,0
18-4,114.116333,22.541218,1
18-4,114.115616,22.579300,0
18-5,114.068169,22.530899,1
18-5,114.068398,22.523617,0
18-5,114.075813,22.534166,1
18-5,114.018967,22.529051,0
18-5,114.119637,22.540733,1
18-5,114.068420,22.523899,0
18-6,114.071953,22.537500,1
18-6,114.068214,22.523582,0
18-6,114.089371,22.538000,1
18-6,114.111069,22.535383,0
18-6,114.119217,22.544149,1
18-6,114.119766,22.544117,0
18-6,114.120369,22.544634,1
18-6,114.113716,22.531782,0
18-7,114.050529,22.514450,1
18-8,114.062416,22.517717,0
18-8,114.064400,22.530701,1
18-8,114.101967,22.542767,0
18-8,114.101814,22.541233,1
18-8,114.160652,22.566633,0
18-8,114.160652,22.566633,1
18-9,114.132103,22.563400,0
18-9,114.129448,22.561501,1
18-9,114.056168,22.531816,0
18-12,114.048584,22.537317,1
18-12,113.949852,22.590651,0
18-12,113.949753,22.583733,1
18-13,113.907166,22.552517,0
18-13,113.922485,22.545483,1
18-13,113.922836,22.529833,0
18-13,113.922653,22.529867,1
18-13,113.936615,22.536501,0
18-13,113.927834,22.525249,1
18-14,113.936531,22.537300,0
18-14,113.930748,22.543867,1
18-14,113.930664,22.544117,0
18-14,113.944946,22.540033,1
18-14,113.937866,22.539200,0
18-15,113.942467,22.559517,1
18-15,113.962601,22.533449,0
18-15,113.959770,22.542933,1
18-15,113.962082,22.546984,0
18-15,113.963501,22.547150,1
18-15,113.906670,22.553682,0
18-15,113.914948,22.539383,1
18-15,113.938820,22.542517,0
18-16,113.940750,22.542316,1
18-16,113.938416,22.538851,0
18-16,113.939285,22.536783,1
18-16,113.939133,22.536783,0
18-16,113.937164,22.536283,1
18-16,113.943665,22.532534,0
18-17,113.956779,22.533300,1
