time,jd,wd,status
18-0,114.091553,22.541582,1
18-0,114.091553,22.541582,0
18-0,114.135315,22.575083,1
18-0,114.134483,22.573351,0
18-0,114.114120,22.587601,1
18-0,114.114380,22.585716,0
18-0,114.102234,22.558750,1
18-0,114.091698,22.541616,0
18-0,114.007668,22.537718,1
18-1,114.012383,22.537216,0
18-1,113.915215,22.563133,1
18-1,113.916382,22.563217,0
18-1,113.949852,22.585768,1
18-3,114.091751,22.541433,0
18-3,114.011047,22.553267,1
18-3,114.026169,22.525333,0
18-4,114.061867,22.521482,1
18-5,114.026154,22.525333,0
18-5,114.092598,22.559732,1
18-7,114.026985,22.525101,0
18-7,114.062614,22.518883,1
18-7,114.106117,22.539316,0
18-8,113.816086,22.646732,1
18-8,113.856529,22.616716,0
18-9,114.099731,22.561501,1
18-9,114.103821,22.561533,0
18-9,114.113770,22.532049,1
18-9,114.112785,22.536034,0
18-9,114.116814,22.543882,1
18-9,114.116814,22.543882,0
18-9,114.114136,22.531799,1
18-9,114.112015,22.538483,0
18-9,114.107819,22.547701,1
18-10,114.105919,22.539551,0
18-10,113.813515,22.651251,1
18-11,113.877068,22.584566,0
18-12,113.925453,22.520800,1
18-12,113.949020,22.541616,0
18-12,113.922630,22.520117,1
18-12,113.922218,22.524166,0
18-12,113.909050,22.485750,1
18-13,113.908066,22.481817,0
18-13,113.971100,22.540667,1
18-13,113.971100,22.540667,0
18-13,114.052551,22.531366,1
18-13,114.052551,22.531366,0
18-14,113.915947,22.520300,1
18-14,113.915947,22.520300,0
18-14,113.816315,22.646418,1
18-15,113.816948,22.647633,0
18-16,113.925880,22.519600,1
18-16,113.923584,22.521633,0
18-16,113.924820,22.535450,1
18-16,113.924332,22.530300,0
18-16,114.056648,22.536400,1
18-17,114.029152,22.521217,0
18-18,113.816086,22.646799,1
18-18,113.814247,22.650316,0
18-20,113.814247,22.650316,1
18-20,113.814247,22.650316,0
18-20,114.122780,22.567051,1
18-20,114.124565,22.562033,0
18-20,114.065285,22.558268,1
18-20,114.066254,22.547550,0
18-21,113.960335,22.528200,1
18-21,113.961952,22.531000,0
18-21,113.920097,22.519567,1
18-21,113.919449,22.519751,0
18-21,113.910187,22.531267,1
18-21,113.913300,22.531166,0
18-21,113.943352,22.506634,1
18-21,113.945183,22.506517,0
18-21,113.931030,22.521883,1
18-21,113.932266,22.522200,0
18-22,114.134018,22.548933,1
18-22,114.111183,22.542316,0
18-22,114.071800,22.543818,1
18-22,114.071785,22.543234,0
18-22,114.118950,22.544167,1
18-23,114.091553,22.541616,0
18-23,114.086700,22.548550,1
18-23,114.091484,22.541582,0
18-23,114.050270,22.601933,1
19-0,114.091599,22.541550,0
19-0,114.042480,22.529284,1
19-0,114.091881,22.541468,0
19-0,114.060898,22.565567,1
19-0,114.060921,22.565001,0
19-0,114.099365,22.554449,1
19-1,114.091980,22.541332,0
19-1,114.112183,22.565651,1
19-1,114.092598,22.541834,0
19-1,114.133766,22.617849,1
19-2,114.094368,22.562099,0
19-2,114.110229,22.537518,1
19-2,114.091820,22.541401,0
19-2,114.118584,22.553034,1
19-3,114.092415,22.541651,0
19-3,114.076263,22.534782,1
19-4,114.092636,22.541634,0
19-5,114.104332,22.540400,1
19-5,114.092499,22.541451,0
19-5,114.115486,22.544283,1
19-5,114.102348,22.538483,0
19-5,114.067596,22.527082,1
19-7,114.045235,22.530567,0
19-7,114.059120,22.562532,1
19-7,114.059334,22.562567,0
19-7,114.077614,22.558100,1
19-7,114.089020,22.554068,0
19-7,114.080917,22.558983,1
19-7,114.086899,22.556984,0
19-8,114.089546,22.543516,1
19-8,114.106087,22.539818,0
19-9,113.933853,22.522717,1
19-9,113.933800,22.522917,0
19-9,113.816216,22.646732,1
19-9,113.842514,22.630684,0
19-9,113.855515,22.618567,1
19-10,113.856499,22.616882,0
19-10,114.081383,22.549250,1
19-10,114.081383,22.549250,0
19-11,114.065216,22.551416,1
19-11,114.065216,22.551416,0
19-11,114.059868,22.571199,1
19-11,114.059868,22.571199,0
19-11,114.036118,22.547033,1
19-11,114.039833,22.544268,0
19-11,114.051620,22.536551,1
19-11,114.050552,22.527767,0
19-11,113.949066,22.540567,1
19-12,113.961967,22.540068,0
19-12,113.971703,22.539200,1
19-12,113.971199,22.540649,0
19-12,113.948936,22.541849,1
19-12,113.948868,22.542900,0
19-13,113.909050,22.522600,1
19-12,113.922417,22.522717,0
19-12,113.922279,22.529850,1
19-12,113.921120,22.526733,0
19-12,113.949837,22.537317,1
19-13,113.992920,22.532867,0
19-13,113.992554,22.532534,1
19-13,114.035332,22.529882,0
19-13,114.039719,22.566050,1
19-13,114.039581,22.566000,0
19-14,114.124496,22.558468,1
19-14,114.125580,22.553183,0
19-14,114.122833,22.613449,1
19-14,114.120514,22.610718,0
19-14,114.119583,22.596167,1
19-15,114.123718,22.574368,0
19-15,114.123749,22.558468,1
19-15,114.122849,22.558018,0
19-16,113.890671,22.791384,1
19-17,113.920082,22.663017,0
19-17,114.010780,22.597134,1
19-18,114.021179,22.529533,0
19-18,114.059647,22.529301,1
19-18,114.061615,22.529333,0
19-18,114.057182,22.525949,1
19-19,114.053169,22.525984,0
19-19,114.047882,22.539101,1
19-19,114.047882,22.539101,0
19-19,113.914352,22.525450,1
19-20,113.942581,22.542700,0
19-20,113.948631,22.541883,1
19-20,113.949020,22.543034,0
19-20,114.069153,22.656866,1
19-20,114.060448,22.653383,0
19-21,114.111717,22.548317,1
19-21,114.111717,22.548317,0
19-21,114.111900,22.564533,1
